PMATPUB_EF;PMATPUB_EM;DIST_EF_PUB;DIST_EM_PUB;IDEB_AI;IDEB_AF;DOCSUP_EF_PUB;DOCSUP_EM_PUB;TXMOINF;TXBRUTAMORT;TXCOBPLP;PINTERSAP;PINTERDRSAI;REN_TRPCBF_D;REN_TRPCBPC_D;PDEFAGUA;PDEFESGOTO;PDEFLIXO;PDEFSAN;PPOB_POS;PBF;SNIS_PAGUA;PFOCOS;POP_TOT;NOME;IBGE;estado;municipio;data;casosAcumulado;obitosAcumulado;interior/metropolitana;Região;Porte;Capital;ESPVIDA;MORT1;T_ENV;RAZDEP;ANOSEST;T_ANALF15M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FUND15A17;R1040;RDPC;RDPC1;RDPC4;RMPOB;RPOB;PMPOB;PPOB;GINI;POP;POPTOT;IDHM_E;IDHM_L;IDHM_R;IDHM;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
99.77;100.0;22.8;30.4;5.8;4.4;74.2;54.0;11.63;3.84;0.89;49.95;20.15;71.81;52.46;89.3;98.01;57.67;55.87;86.36;69.14;76.95;0.24;14045;Alto Alegre dos Parecis;110037;RO;Alto Alegre dos Parecis;2020-11-01;211;9;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.8379;-12.1405;3389;2134;1999;2380;3369;3472;4638;4722;4776;3665;3663;3200;2644
100.0;100.0;20.2;32.8;5.7;4.3;36.4;52.1;20.66;3.39;1.53;32.87;5.39;64.74;110.23;97.02;97.1;57.18;55.56;80.87;58.07;13.9;2.42;20916;Alto Paraíso;110040;RO;Alto Paraíso;2020-11-01;379;8;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.3193;-9.7147;3095;1922;1964;2167;2952;3063;4361;4398;4257;3287;3466;2898;2408
98.14;100.0;20.3;32.1;5.6;4.9;60.4;56.3;20.57;4.17;1.59;27.07;1.64;68.24;165.14;97.63;86.42;36.1;30.4;91.14;71.24;16.23;2.03;39044;Buritis;110045;RO;Buritis;2020-11-01;778;10;0;Região Norte;Pequeno II;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.8312;-10.206;3070;1852;1965;2149;2937;3066;4352;4360;4229;3382;3384;2855;2310
100.0;74.04;21.5;27.4;5.8;5.8;62.5;48.4;0.0;4.58;1.7;40.65;8.97;78.22;68.17;74.45;70.15;61.12;46.63;82.22;61.72;100.0;0.02;10051;Novo Horizonte do Oeste;110050;RO;Novo Horizonte do Oeste;2020-11-01;70;1;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-61.9993;-11.7091;3422;2189;2006;2611;3505;3495;4737;4664;4709;3561;3680;3304;2604
100.0;100.0;21.7;24.6;5.8;4.0;67.0;47.5;0.0;2.94;2.03;27.37;1.41;45.37;98.34;93.14;97.14;48.25;46.89;76.95;50.55;31.93;0.18;6460;Cacaulândia;110060;RO;Cacaulândia;2020-11-01;84;0;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.9003;-10.3387;3179;1901;1802;2242;3259;3209;4584;4525;4376;3386;3516;2950;2405
100.0;100.0;30.1;32.5;5.3;4.7;57.5;40.7;5.75;2.83;0.53;38.29;7.66;74.53;63.61;71.81;88.45;66.79;63.48;78.97;59.35;100.0;0.49;14484;Campo Novo de Rondônia;110070;RO;Campo Novo de Rondônia;2020-11-01;172;6;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.6212;-10.5699;3146;1783;1912;2178;3190;3313;4546;4413;4368;3425;3433;2833;2364
100.0;100.0;33.6;47.1;4.4;4.1;65.5;48.9;7.56;5.18;2.44;15.09;1.09;116.26;110.55;20.92;19.48;17.42;10.26;81.94;70.58;74.66;3.47;25266;Candeias do Jamari;110080;RO;Candeias do Jamari;2020-11-01;1485;32;1;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.701;-8.7911;2985;1866;1998;2133;2827;2935;4406;4527;3961;3122;3190;2696;2155
100.0;100.0;18.4;41.4;5.2;4.3;42.6;56.3;11.83;3.02;1.67;13.47;0.82;80.92;71.02;38.35;36.96;39.37;23.41;86.52;65.12;0.0;0.27;10593;Chupinguaia;110092;RO;Chupinguaia;2020-11-01;772;7;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-60.9026;-12.5533;3605;2415;2235;2691;3636;3996;4835;4887;4680;3572;3798;3547;2965
96.34;100.0;30.9;39.0;4.5;4.2;61.5;23.4;9.57;2.45;0.88;31.65;4.63;71.1;62.43;93.75;97.8;41.33;41.04;82.65;64.75;12.57;3.01;22443;Cujubim;110094;RO;Cujubim;2020-11-01;439;8;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-62.585;-9.3611;3024;1683;1800;2159;2743;3033;4564;4495;4169;3153;3346;2803;2346
100.0;100.0;26.5;29.8;4.8;4.6;57.8;56.0;21.05;3.88;4.69;16.71;2.03;75.34;48.51;58.13;45.18;20.66;14.01;82.42;60.97;79.55;0.62;10310;Itapuã do Oeste;110110;RO;Itapuã do Oeste;2020-11-01;365;8;0;Região Norte;Pequeno I;0;71.53;19.55;7.12;42.4;7.26;7.22;14.49;10.63;68.6;10.28;618.98;129.21;669.59;109.25;235.01;9.32;25.02;0.456;1796762;1796762;0.703;0.7759999999999999;0.6990000000000001;0.725;-63.1787;-9.1954;3108;1796;2076;2120;2827;3026;4493;4624;4146;3474;3467;2921;2326
