"perc_matricula_epf";"perc_matricula_epm";"tx_distorcao_idade_serie_epf";"tx_distorcao_idade_serie_epm";"ideb_ai_ef";"ideb_ai_em";"perc_docente_epf";"perc_docente_epm";"tx_mortalidade_infantil";"tx_mortalidade_bruta";"perc_pop_cobertura_plano_saude";"perc_internacao_falha_aps";"perc_internacao_falha_saneamento";"vl_per_capita_bolsa_familia";"vl_per_capita_beneficio_prestacao_continuada";"perc_pop_cadunico_sem_abastecimento_agua";"perc_pop_cadunico_sem_esgotamento_sanitario";"perc_pop_cadunico_sem_coleta_lixo";"perc_pop_cadunico_sem_saneamento";"perc_pop_pobre_cadunico";"perc_pop_cadunico_bolsa_familia";"perc_pop_urbana_com_abastecimento_agua";"perc_participacao_queimadas_brasil";"cobertura_ab";"incidencia";"letalidade";"label"
100;100;26,5;29,8;4,8;4,6;57,8;56;21,05;3,88;4,69;16,71;2,03;75,34;48,51;58,13;45,18;20,66;14,01;82,42;60,97;79,55;0,62;67,17;3540,25218234724;2,19178082191781;"Grave"
100;100;15,9;21,9;6,9;5,2;55,9;48;0;3,44;1,36;35,46;6,18;48,91;50,37;74,01;99,05;51,59;51,33;78,96;52,31;89,29;0,03;100;362,756952841596;2,56410256410256;"Moderado"
90,35;82,9;22,4;34,2;5,3;4,7;59,4;45,6;12,82;5,71;2,1;35,45;10,83;62,04;173,77;74,34;86,73;38,79;37,95;73,26;54,38;44,02;0,06;93,41;978,952520802741;2,5;"Moderado"
97,63;100;24;29,4;5,3;4,9;49,9;70,9;10;3,83;1,15;27,77;3,28;54,53;108,84;75,78;99,76;57,46;57,26;76,24;50,75;60,5;0,54;87,93;1779,31545780304;1,38888888888889;"Moderado"
100;100;22,4;34,4;5,4;5;67,1;54,6;0;3,09;1;26,39;6,56;57,74;40,86;74,33;45,23;63,44;34,85;75,67;49,16;94,68;0,01;97,91;2574,33389110568;1;"Moderado"
99,57;100;20,8;30,5;5,3;4,7;76,1;47,2;39,22;2,37;1,22;31,38;9,57;64,5;33,42;62,8;57,22;50,77;34,41;67,83;47,42;80,75;0,17;100;423,441734417344;4;"Grave"
100;100;14,5;34;6,3;5;59,1;71,6;0;2,49;1,12;36,17;4,43;93,83;65,69;36,12;96,73;27,96;25,71;74,49;53,06;100;0,8;100;8506,22406639004;2,92682926829268;"Grave"
100;100;15,4;37,5;5,7;4,5;67,3;52,1;13,33;5,17;2,5;30;1,49;22,27;44,44;81,12;99,33;70,91;70,28;57,32;18,69;94,37;0,01;100;1368,03470136803;1,21951219512195;"Moderado"
100;100;17,7;25,6;5,7;5,5;65,8;30,8;10,64;5,3;1,64;27,51;4,17;83,89;45,15;90,39;96,8;65,22;63,9;85,61;67,5;60,56;0,42;100;1090,65043863115;0;"Moderado"
100;100;20,8;30;6;5,1;54,1;25;17,24;5,07;2,13;27,22;3,89;82,15;12,86;94,7;67,89;60,3;40,88;75,67;56,51;36,51;0,01;100;872,034070168323;2,32558139534884;"Moderado"
100;100;22,1;35,9;6,4;4,9;79,7;60,8;20,55;3,17;1,26;27,3;2,69;62,26;44,87;91,99;92,27;76,5;71,52;81,31;56,96;62,62;0,13;100;1039,64757709251;0,847457627118644;"Moderado"
100;100;22,8;28,4;6;5,1;64,7;57,4;6,67;5,19;2,44;24,56;2,58;81,89;118,02;77,36;98,69;55,82;54,18;76,36;59,84;70,98;0,02;88,73;1480,23805890432;1,54639175257732;"Moderado"
100;100;27,1;31,4;5,8;4,2;64;43,8;0;3,95;0,86;32,73;3,16;82,62;17,11;86,91;98,6;60,13;59,22;85,44;67,38;31,8;0,54;62,57;1399,22863037044;0,641025641025641;"Moderado"
90,74;100;27,4;32,7;5,1;4,9;56,1;48,3;0;3,98;1,59;36,59;5,64;74,14;83,24;94,98;88,26;57,77;52,39;83,48;64,53;27,7;0,2;100;1043,86727973158;2,38095238095238;"Moderado"
100;100;26,3;41,3;5,4;4,5;44,4;46,2;11,72;4,25;1,16;18,52;4,74;182,54;65,67;77,11;37,84;52,79;25,99;91,94;77,43;74,82;0,37;100;3424,75288876514;2,03252032520325;"Grave"
100;100;47;40,9;4,3;4,1;13,4;26,8;8,06;4,15;1,26;25,51;2,24;380,23;193,98;72,87;72,5;67,86;58,98;95,6;88,35;100;0,33;100;10163,1835098769;1,26760563380282;"Grave"
100;100;21,1;23,9;6,4;5,8;39,8;50,3;17,54;5,13;0,9;35,07;1,93;230,28;282,38;60,84;58,04;52,11;41,92;90,79;82,62;87,07;1,13;100;4784,97880072683;1,60337552742616;"Grave"
100;100;32,5;41,2;4,5;3,8;25;30,8;6,51;4,14;1,22;8;0;229,57;96,21;68,5;78,82;56,37;50;97,54;83,29;95,77;0,39;100;4201,15894039735;1,72413793103448;"Grave"
100;100;33;27,2;4,2;4,4;29,1;45,5;16,46;3,05;0,39;21,56;0,72;155,6;50,46;72,17;91,02;66,7;62,2;94,55;82,82;80,47;0,38;100;2298,85057471264;3,125;"Grave"
97,51;98,01;24,8;26,5;5,5;4,7;49,2;45,6;11,28;5,16;1,31;19,73;2,28;290,71;297,41;61,64;96,7;34,56;32,26;96,88;88,2;75,43;0,64;100;4427,39221998983;1,72225259704757;"Grave"
100;100;21,4;16,9;5,8;5,1;37,1;41,5;10,31;4,04;1,04;38,17;2,68;138,05;251,34;50,05;49,86;34,95;25,98;92,29;81,7;89,13;0,41;100;3044,98269896194;2,65151515151515;"Grave"
100;100;40,7;40,5;5,5;4,8;21,2;19,5;15,61;4,33;0,58;12,02;0,49;407,85;225,52;84,7;87,04;53,96;53,35;97,59;91,71;36,7;1,55;79,6;4035,84672435105;1,68453292496172;"Grave"
