IBGE;População;Cobertura AB
320460;23392;100,00
320465;8589;100,00
320470;37361;83,19
320480;10566;100,00
320490;128542;77,62
320495;12318;100,00
320500;507598;58,81
320501;29449;58,58
320503;21207;100,00
320506;24800;100,00
320510;76954;100,00
320515;9171;81,13
320517;14087;97,96
320520;486208;43,16
320530;358267;88,09
520005;8583;100,00
520010;19614;87,95
520013;22182;100,00
520015;2517;100,00
520017;5676;100,00
520020;1872;100,00
520025;207070;29,99
520030;27288;100,00
520050;2005;100,00
520055;6218;100,00
520060;7558;100,00
520080;8614;100,00
520082;3778;100,00
520085;6057;100,00
520090;3185;100,00
520110;381970;77,39
520120;1137;100,00
520130;21717;100,00
520140;565957;51,75
520145;2474;100,00
520150;4163;82,87
520160;3560;100,00
520170;19959;100,00
520180;10116;100,00
520215;7756;88,96
520235;2689;100,00
520250;9635;71,61
520260;3184;100,00
520280;2425;100,00
520310;4992;100,00
520320;10922;63,18
520330;29448;100,00
520340;8813;100,00
520350;24776;83,55
520355;9488;100,00
520357;4316;100,00
520360;3659;100,00
520380;5761;100,00
520390;9433;100,00
520393;2501;100,00
520396;3302;100,00
520400;7939;100,00
520410;12297;100,00
520420;1361;100,00
520425;8102;100,00
520430;15743;100,00
520440;18715;92,17
520450;89087;61,96
520455;3759;100,00
520460;3610;100,00
520465;3649;100,00
520470;12486;100,00
520480;7437;100,00
520485;7636;100,00
520490;19764;100,00
520495;2459;100,00
520500;9976;100,00
520505;3464;99,60
520510;106618;44,60
520520;5038;100,00
520530;9693;100,00
520540;22074;100,00
520545;8507;100,00
520547;9842;100,00
520549;69829;100,00
520551;19971;100,00
520552;3404;100,00
520570;2364;100,00
520580;11050;93,67
520590;9574;72,07
520620;57759;88,82
520630;2968;100,00
520640;16852;100,00
520650;3500;100,00
520660;2871;100,00
520670;3315;100,00
520680;2923;100,00
520690;2094;100,00
520710;2488;100,00
520830;4830;100,00
520725;7398;100,00
520735;3710;100,00
520740;12276;100,00
520750;3286;100,00
520753;6678;100,00
520760;5722;100,00
520780;13131;100,00
520790;16100;100,00
520800;119506;75,66
520810;4325;100,00
520815;3753;100,00
520840;11239;100,00
520850;5574;100,00
520860;69072;100,00
520870;1495705;59,33
520880;43260;100,00
520890;22916;100,00
520910;33986;100,00
520915;5806;100,00
520920;14211;100,00
520929;2041;100,00
520940;3940;100,00
520945;1852;100,00
520960;3714;100,00
520970;21278;100,00
520980;3622;95,25
520990;13808;74,96
520993;6152;100,00
520995;15431;89,43
521000;52465;100,00
521010;26792;100,00
521015;2893;100,00
521020;31563;87,44
521030;2815;100,00
521040;42163;90,01
521056;4668;100,00
521060;5269;100,00
521080;4605;100,00
521090;22533;91,87
521100;5316;100,00
521120;25856;100,00
521130;7097;97,22
521140;8916;100,00
521150;103652;69,90
521160;2406;100,00
521170;6073;100,00
521180;49667;76,41
521190;99674;80,99
521200;2898;100,00
521205;2474;100,00
521210;7372;100,00
521220;18587;100,00
521225;1555;100,00
521230;7643;100,00
521250;205023;40,25
521260;2373;100,00
521270;8680;100,00
521280;9646;100,00
521290;2223;100,00
521295;4366;100,00
521300;13829;99,79
521305;2612;100,00
521308;29353;70,52
521310;65420;100,00
521340;1557;100,00
521350;8527;100,00
521370;8063;100,00
521375;13115;52,61
521377;4449;100,00
521380;45716;89,57
521385;2264;100,00
521390;4377;100,00
521400;15444;89,36
521405;5066;100,00
521410;3793;100,00
521440;9022;100,00
521450;29293;100,00
521460;46039;100,00
521470;2346;100,00
521480;2199;100,00
521483;12791;100,00
521486;8218;83,96
521487;2923;100,00
521490;3293;100,00
521500;9684;100,00
521520;2985;100,00
521523;113679;69,49
521525;4445;100,00
521530;15502;100,00
521540;3797;100,00
521550;6549;100,00
521560;33228;100,00
521565;3460;99,71
521570;28313;100,00
521580;2380;100,00
521590;3589;100,00
521600;2627;100,00
521630;9972;100,00
521640;10995;100,00
521645;3116;100,00
521680;10301;100,00
521690;2314;100,00
521710;24499;98,58
521720;10501;100,00
521730;24749;100,00
521740;31225;75,90
521760;89181;100,00
521770;17777;97,04
521800;45151;76,41
521805;3830;90,08
521810;4000;86,25
521830;36375;93,61
521839;3243;100,00
521850;49416;83,78
521860;10896;100,00
521870;4784;100,00
521878;4371;78,93
521880;229651;38,18
521890;19815;100,00
521900;7642;100,00
521910;6485;100,00
521920;2892;100,00
521925;5393;63,97
521930;38485;100,00
521935;3803;100,00
521940;8573;80,49
521945;3331;100,00
521950;2388;100,00
521960;3431;100,00
521970;8931;100,00
521971;4787;100,00
521973;6123;100,00
521975;73636;84,33
521980;12791;100,00
521990;6260;100,00
522000;13387;100,00
522005;1417;100,00
522010;33470;100,00
522015;5117;100,00
522020;22067;100,00
522026;4032;100,00
522028;2035;100,00
522040;20297;84,99
522045;112224;100,00
522050;8445;81,71
522060;20573;100,00
522068;6832;100,00
522070;2977;100,00
522100;3537;100,00
522108;3416;100,00
522119;7897;100,00
522130;2837;100,00
522140;125328;88,09
522145;3501;100,00
522150;4633;100,00
522155;5195;100,00
522157;2868;100,00
522160;40217;94,36
522170;13868;100,00
522180;3078;100,00
522185;164723;89,84
522190;3816;90,41
522200;13746;100,00
522205;8611;80,13
522220;6026;100,00
522230;5758;100,00
